NomeBot;IdOrdem;Data;Odd;Stake;PL
OVER 0.5 HT [1.48- 1.7];283793979644;2022-10-10;1.49;2;0.98
OVER 0.5 HT [1.48- 1.7];283795410424;2022-10-10;1.62;2;-2
OVER 0.5 HT [1.48- 1.7];283806413818;2022-10-10;1.6;2;-2
OVER 0.5 HT [1.48- 1.7];283809940107;2022-10-10;1.69;2;1.38
OVER 0.5 HT [1.48- 1.7];283813240147;2022-10-11;1.69;2;1.38
OVER 0.5 HT [1.48- 1.7];283870113110;2022-10-11;1.5;2;-2
OVER 0.5 HT [1.48- 1.7];283881022749;2022-10-11;1.61;2;1.22
OVER 0.5 HT [1.48- 1.7];283881022758;2022-10-11;1.48;2;0.96
OVER 0.5 HT [1.48- 1.7];283881140047;2022-10-11;1.68;2;-2
OVER 0.5 HT [1.48- 1.7];283883362741;2022-10-11;1.67;2;1.34
OVER 0.5 HT [1.48- 1.7];283883363909;2022-10-11;1.5;2;-2
