ID do Bot;Nome do Bot;ID da ordem;Data;Stake;Odd;Tipo;P/L;Seleção;ID da Seleção;Evento;ID do Evento;Mercado;ID do Mercado;Tipo do Mercado
63;OVER 0.5 HT [2.02- 2.5];276974426896;2022-08-13T14:24:32.184Z;2;2.08;BACK;2.16;Over 0.5 Goals;5851483;Hull v Norwich;31630984;FIRST_HALF_GOALS_05;1.201632320;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276988417945;2022-08-13T15:14:05.363Z;2;2.02;BACK;-2;Over 0.5 Goals;5851483;Eibar v Tenerife;31644538;FIRST_HALF_GOALS_05;1.201811541;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];276992536006;2022-08-13T15:27:17.440Z;2;2.18;BACK;-2;Over 0.5 Goals;5851483;Austria Klagenfurt v SV Ried;31645596;FIRST_HALF_GOALS_05;1.201829585;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277010563948;2022-08-13T16:59:02.408Z;2;2.06;BACK;2.12;Over 0.5 Goals;5851483;Schalke 04 v Mgladbach;31544728;FIRST_HALF_GOALS_05;1.200406099;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277014503404;2022-08-13T17:18:30.159Z;2;2.02;BACK;2.04;Over 0.5 Goals;5851483;Mirandes v Sporting Gijon;31644539;FIRST_HALF_GOALS_05;1.201811321;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277015218443;2022-08-13T17:22:01.102Z;2;2.02;BACK;-2;Over 0.5 Goals;5851483;Valladolid v Villarreal;31553359;FIRST_HALF_GOALS_05;1.200520740;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277017077682;2022-08-13T17:31:29.674Z;2;2;BACK;-2;Over 0.5 Goals;5851483;Casa Pia v Benfica;31644450;FIRST_HALF_GOALS_05;1.201808363;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277027557453;2022-08-13T18:28:33.080Z;2;2.36;BACK;-2;Over 0.5 Goals;5851483;Emmen v RKC Waalwijk;31644281;FIRST_HALF_GOALS_05;1.201810546;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277028177973;2022-08-13T18:32:02.452Z;2;2.04;BACK;-2;Over 0.5 Goals;5851483;FC Utrecht v Cambuur Leeuwarden;31644275;FIRST_HALF_GOALS_05;1.201810658;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277031007881;2022-08-13T18:48:03.012Z;2;2.04;BACK;2.08;Over 0.5 Goals;5851483;Rosario Central v Barracas Central;31646515;FIRST_HALF_GOALS_05;1.201856439;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277031294568;2022-08-13T18:49:33.559Z;2;2.02;BACK;-2;Over 0.5 Goals;5851483;Defensa y Justicia v Tigre;31646516;FIRST_HALF_GOALS_05;1.201856329;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277033827549;2022-08-13T19:04:00.710Z;2;2.02;BACK;2.04;Over 0.5 Goals;5851483;Palermo v Perugia;31644252;FIRST_HALF_GOALS_05;1.201809056;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277034220933;2022-08-13T19:06:01.371Z;2;2.04;BACK;2.08;Over 0.5 Goals;5851483;AC Monza v Torino;31553005;FIRST_HALF_GOALS_05;1.200517941;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277036172867;2022-08-13T19:15:31.572Z;2;2.5;BACK;-2;Over 0.5 Goals;5851483;Eyupspor v Denizlispor;31656504;FIRST_HALF_GOALS_05;1.201991241;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277036273706;2022-08-13T19:16:01.703Z;2;2.04;BACK;2.08;Over 0.5 Goals;5851483;Sport Recife v CSA;31647427;FIRST_HALF_GOALS_05;1.201885166;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277037104026;2022-08-13T19:20:00.409Z;2;2.16;BACK;2.32;Over 0.5 Goals;5851483;Leganes v Alaves;31644540;FIRST_HALF_GOALS_05;1.201811431;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277038814985;2022-08-13T19:30:30.990Z;2;2.04;BACK;-2;Over 0.5 Goals;5851483;Feyenoord v Heerenveen;31644552;FIRST_HALF_GOALS_05;1.201810321;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277039415847;2022-08-13T19:34:00.681Z;2;2.12;BACK;-2;Over 0.5 Goals;5851483;Barcelona v Rayo Vallecano;31553357;FIRST_HALF_GOALS_05;1.200521106;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277041970358;2022-08-13T19:51:01.997Z;2;2.06;BACK;2.12;Over 0.5 Goals;5851483;Goias v Avai;31636946;FIRST_HALF_GOALS_05;1.201708290;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277043326122;2022-08-13T20:01:33.115Z;2;2.16;BACK;2.32;Over 0.5 Goals;5851483;Sporting Lisbon v Rio Ave;31644452;FIRST_HALF_GOALS_05;1.201808243;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277052056777;2022-08-13T21:16:18.612Z;2;2.08;BACK;2.16;Over 0.5 Goals;5851483;Lanus v CA Independiente;31646659;FIRST_HALF_GOALS_05;1.201856219;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277052493216;2022-08-13T21:21:48.347Z;2;2.28;BACK;-2;Over 0.5 Goals;5851483;Las Palmas v Zaragoza;31644541;FIRST_HALF_GOALS_05;1.201811211;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277054418472;2022-08-13T21:47:19.355Z;2;2.04;BACK;-2;Over 0.5 Goals;5851483;Guarani v Nautico PE;31649481;FIRST_HALF_GOALS_05;1.201900502;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277055247169;2022-08-13T22:01:48.966Z;2;2.02;BACK;-2;Over 0.5 Goals;5851483;Penarol v Albion FC;31649108;FIRST_HALF_GOALS_05;1.201895474;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277056046653;2022-08-13T22:13:49.173Z;2;2.02;BACK;-2;Over 0.5 Goals;5851483;Corinthians v SE Palmeiras;31645179;FIRST_HALF_GOALS_05;1.201820264;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277058415743;2022-08-13T22:50:18.885Z;2;2.04;BACK;-2;Over 0.5 Goals;5851483;Santa Fe v Tolima;31647347;FIRST_HALF_GOALS_05;1.201884287;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277061427274;2022-08-13T23:41:20.048Z;2;2.12;BACK;2.24;Over 0.5 Goals;5851483;Cuiaba v Juventude;31645178;FIRST_HALF_GOALS_05;1.201820374;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277062609801;2022-08-13T23:54:20.001Z;2;2.08;BACK;2.16;Over 0.5 Goals;5851483;River Plate v Newells;31646927;FIRST_HALF_GOALS_05;1.201856109;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277063506112;2022-08-14T00:04:19.158Z;2;2.02;BACK;2.04;Over 0.5 Goals;5851483;Toronto FC v Portland Timbers;31645164;FIRST_HALF_GOALS_05;1.201819404;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277064916417;2022-08-14T00:20:19.691Z;2;2.04;BACK;-2;Over 0.5 Goals;5851483;Botafogo v Atletico GO;31637325;FIRST_HALF_GOALS_05;1.201711608;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277065797933;2022-08-14T00:32:49.902Z;2;2.02;BACK;2.04;Over 0.5 Goals;5851483;Inter Miami CF v New York City;31638541;FIRST_HALF_GOALS_05;1.201727111;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277075335758;2022-08-14T03:08:19.445Z;2;2.04;BACK;-2;Over 0.5 Goals;5851483;Los Angeles FC v Charlotte FC;31638592;FIRST_HALF_GOALS_05;1.201727886;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277099370895;2022-08-14T10:19:26.500Z;2;2.02;BACK;-2;Over 0.5 Goals;5851483;Tosu v Nagoya;31646051;FIRST_HALF_GOALS_05;1.201836284;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277100671868;2022-08-14T10:28:56.876Z;2;2.02;BACK;-2;Over 0.5 Goals;5851483;G-Osaka v Shimizu;31646033;FIRST_HALF_GOALS_05;1.201836376;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277112271435;2022-08-14T11:55:28.506Z;2;2.06;BACK;2.12;Over 0.5 Goals;5851483;Fortuna Dusseldorf v Greuther Furth;31647646;FIRST_HALF_GOALS_05;1.201870725;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277112499500;2022-08-14T11:57:28.816Z;2;2.04;BACK;-2;Over 0.5 Goals;5851483;Hannover v Jahn Regensburg;31646943;FIRST_HALF_GOALS_05;1.201857467;FIRST_HALF_GOALS_05
63;OVER 0.5 HT [2.02- 2.5];277131353324;2022-08-14T13:49:15.481Z;2;2.04;BACK;-2;Over 0.5 Goals;5851483;Mainz v Union Berlin;31539141;FIRST_HALF_GOALS_05;1.200330363;FIRST_HALF_GOALS_05
