IdBot;NomeBot;IdOrdem;Data;Stake;Odd;Tipo;PL;Selecao;IdSelecao
62;OVER 0.5 HT [1.71- 2];2.77052E+11;2022-08-13T21:12:19.048Z;2;1.77;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77052E+11;2022-08-13T21:12:48.199Z;2;1.95;BACK;1.9;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77054E+11;2022-08-13T21:46:21.892Z;2;2;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77055E+11;2022-08-13T21:48:49.066Z;2;1.72;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77056E+11;2022-08-13T22:12:49.072Z;2;1.92;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77057E+11;2022-08-13T22:21:49.538Z;2;1.71;BACK;1.42;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77058E+11;2022-08-13T22:47:49.367Z;2;1.95;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77062E+11;2022-08-13T23:46:19.401Z;2;1.75;BACK;1.5;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77063E+11;2022-08-13T23:58:49.451Z;2;1.82;BACK;1.64;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77064E+11;2022-08-14T00:13:49.891Z;2;1.8;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77065E+11;2022-08-14T00:27:49.868Z;2;1.79;BACK;1.58;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77075E+11;2022-08-14T03:02:19.258Z;2;1.73;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77099E+11;2022-08-14T10:16:57.002Z;2;1.92;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.771E+11;2022-08-14T10:23:57.165Z;2;1.79;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77111E+11;2022-08-14T11:48:57.578Z;2;1.74;BACK;1.48;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77112E+11;2022-08-14T11:50:58.887Z;2;1.74;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.7713E+11;2022-08-14T13:41:14.433Z;2;1.74;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77135E+11;2022-08-14T14:13:18.878Z;2;1.73;BACK;1.46;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77135E+11;2022-08-14T14:13:19.341Z;2;1.79;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77142E+11;2022-08-14T14:46:47.470Z;2;1.99;BACK;1.98;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77152E+11;2022-08-14T15:45:17.045Z;2;1.91;BACK;1.82;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77153E+11;2022-08-14T15:46:17.032Z;2;1.73;BACK;1.46;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77164E+11;2022-08-14T16:48:10.174Z;2;1.71;BACK;1.42;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77169E+11;2022-08-14T17:20:38.067Z;2;1.72;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77172E+11;2022-08-14T17:44:07.472Z;2;1.88;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77172E+11;2022-08-14T17:46:06.208Z;2;1.84;BACK;1.68;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.7718E+11;2022-08-14T18:46:38.916Z;2;1.75;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77181E+11;2022-08-14T18:57:40.463Z;2;1.72;BACK;1.44;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77181E+11;2022-08-14T18:57:40.616Z;2;1.72;BACK;1.44;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77182E+11;2022-08-14T19:02:39.400Z;2;1.81;BACK;1.62;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77182E+11;2022-08-14T19:03:38.756Z;2;1.73;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77183E+11;2022-08-14T19:04:09.489Z;2;1.89;BACK;1.78;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77183E+11;2022-08-14T19:06:12.535Z;2;1.79;BACK;1.58;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77184E+11;2022-08-14T19:12:40.611Z;2;1.96;BACK;1.92;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77184E+11;2022-08-14T19:13:10.254Z;2;1.73;BACK;1.46;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77186E+11;2022-08-14T19:21:12.110Z;2;1.75;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77186E+11;2022-08-14T19:21:12.110Z;2;1.76;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77188E+11;2022-08-14T19:41:39.596Z;2;1.72;BACK;1.44;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77192E+11;2022-08-14T20:11:11.312Z;2;2;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77198E+11;2022-08-14T21:10:06.964Z;2;1.79;BACK;1.58;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77198E+11;2022-08-14T21:11:06.877Z;2;1.81;BACK;-2;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77198E+11;2022-08-14T21:15:06.607Z;2;1.78;BACK;1.56;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77201E+11;2022-08-14T22:10:07.467Z;2;1.77;BACK;1.54;Over 0.5 Goals;5851483
62;OVER 0.5 HT [1.71- 2];2.77204E+11;2022-08-14T23:16:06.364Z;2;1.92;BACK;-2;Over 0.5 Goals;5851483
