NomeBot;IDOrdem;Data;Odd;Stake;PL
OVER 0.5 HT [1.48- 1.7];305773180546;2023-05-02;1.7;2;1.4
OVER 0.5 HT [1.48- 1.7];305781730955;2023-05-03;1.63;2;1.26
OVER 0.5 HT [1.48- 1.7];305889350755;2023-05-03;1.49;2;-2
OVER 0.5 HT [1.48- 1.7];305994896748;2023-05-04;1.58;2;1.16
OVER 0.5 HT [1.48- 1.7];306097745790;2023-05-05;1.51;2;1.02
OVER 0.5 HT [1.48- 1.7];306229012887;2023-05-06;1.6;2;1.2
OVER 0.5 HT [1.48- 1.7];306229264013;2023-05-06;1.48;2;0.96
OVER 0.5 HT [1.48- 1.7];306487438901;2023-05-07;1.64;2;1.28
OVER 0.5 HT [1.48- 1.7];306786747304;2023-05-11;1.64;2;1.28
OVER 0.5 HT [1.48- 1.7];307026495595;2023-05-13;1.64;2;-2
OVER 0.5 HT [1.48- 1.7];307110421407;2023-05-13;1.51;2;1.02
OVER 0.5 HT [1.48- 1.7];307140426642;2023-05-13;1.6;2;-2
OVER 0.5 HT [1.48- 1.7];307195065023;2023-05-13;1.68;2;1.36
OVER 0.5 HT [1.48- 1.7];307283937142;2023-05-14;1.48;2;0.96
OVER 0.5 HT [1.48- 1.7];307353956765;2023-05-14;1.68;2;1.36
OVER 0.5 HT [1.48- 1.7];307361621820;2023-05-14;1.59;2;1.18
OVER 0.5 HT [1.48- 1.7];307366387609;2023-05-15;1.58;2;1.16
OVER 0.5 HT [1.48- 1.7];307439643191;2023-05-15;1.48;2;0.96
OVER 0.5 HT [1.48- 1.7];307500471744;2023-05-16;1.66;2;1.32
OVER 0.5 HT [1.48- 1.7];307500680413;2023-05-16;1.54;2;1.08
OVER 0.5 HT [1.48- 1.7];307652896937;2023-05-18;1.69;2;-2
OVER 0.5 HT [1.48- 1.7];307652945069;2023-05-18;1.59;2;1.18
OVER 0.5 HT [1.48- 1.7];307652996403;2023-05-18;1.6;2;1.2
OVER 0.5 HT [1.48- 1.7];307653477457;2023-05-18;1.5;2;-2
OVER 0.5 HT [1.48- 1.7];307860790709;2023-05-19;1.59;2;1.18
OVER 0.5 HT [1.48- 1.7];307894054938;2023-05-20;1.64;2;-2
OVER 0.5 HT [1.48- 1.7];307971118635;2023-05-20;1.69;2;1.38
OVER 0.5 HT [1.48- 1.7];308129528725;2023-05-21;1.47;2;-2
OVER 0.5 HT [1.48- 1.7];309027150144;2023-05-28;1.5;2;1
OVER 0.5 HT [1.48- 1.7];309079332744;2023-05-28;1.69;2;1.38
OVER 0.5 HT [1.48- 1.7];309093453299;2023-05-28;1.65;2;1.3
OVER 0.5 HT [1.48- 1.7];309094283599;2023-05-28;1.7;2;1.4
OVER 0.5 HT [1.48- 1.7];309106203709;2023-05-29;1.59;2;-2
OVER 0.5 HT [1.71- 2];283450698482;2022-10-08;1.72;2;-2
OVER 0.5 HT [1.71- 2];283483019170;2022-10-08;1.7;2;1.4
OVER 0.5 HT [1.71- 2];283484002812;2022-10-08;1.71;2;1.42
OVER 0.5 HT [1.71- 2];283492382947;2022-10-08;1.76;2;1.52
OVER 0.5 HT [1.71- 2];283492545985;2022-10-08;1.73;2;-2
OVER 0.5 HT [1.71- 2];283523715768;2022-10-08;1.75;2;1.5
OVER 0.5 HT [1.71- 2];283551401129;2022-10-08;1.72;2;1.44
OVER 0.5 HT [1.71- 2];283629502489;2022-10-09;1.76;2;-2
OVER 0.5 HT [1.71- 2];283646991368;2022-10-09;1.72;2;1.44
OVER 0.5 HT [1.71- 2];283647872790;2022-10-09;1.74;2;1.48
OVER 0.5 HT [1.71- 2];283882404897;2022-10-11;1.74;2;1.48
OVER 0.5 HT [1.71- 2];283894902307;2022-10-11;1.85;2;1.7
OVER 0.5 HT [1.71- 2];283899590993;2022-10-11;1.79;2;1.58
OVER 0.5 HT [1.71- 2];283904052491;2022-10-12;1.79;2;1.58
OVER 0.5 HT [1.71- 2];284215534894;2022-10-15;1.73;2;1.46
OVER 0.5 HT [1.71- 2];284296763937;2022-10-15;1.73;2;1.46
OVER 0.5 HT [1.71- 2];284297899208;2022-10-15;1.74;2;1.48
OVER 0.5 HT [1.71- 2];284360002290;2022-10-15;1.75;2;1.5
OVER 0.5 HT [1.71- 2];284431192181;2022-10-16;1.74;2;-2
OVER 0.5 HT [1.71- 2];284506473047;2022-10-16;1.74;2;1.48
OVER 0.5 HT [1.71- 2];284506540330;2022-10-16;1.74;2;1.48
OVER 0.5 HT [1.71- 2];284524080562;2022-10-16;1.79;2;-2
OVER 0.5 HT [1.71- 2];285019788067;2022-10-21;1.73;2;1.46
OVER 0.5 HT [1.71- 2];285042474309;2022-10-21;1.76;2;1.52
OVER 0.5 HT [1.71- 2];285094345618;2022-10-22;1.71;2;-2
OVER 0.5 HT [1.71- 2];285095609903;2022-10-22;1.76;2;-2
OVER 0.5 HT [1.71- 2];285129260776;2022-10-22;1.75;2;1.5
OVER 0.5 HT [1.71- 2];285136441438;2022-10-22;1.84;2;-2
OVER 0.5 HT [1.71- 2];286634241779;2022-11-04;1.7;2;-2
OVER 0.5 HT [1.71- 2];286742221258;2022-11-05;1.79;2;1.58
OVER 0.5 HT [1.71- 2];286763227455;2022-11-05;1.72;2;1.44
OVER 0.5 HT [1.71- 2];286805702699;2022-11-05;1.75;2;1.5
OVER 0.5 HT [1.71- 2];286839345861;2022-11-06;1.79;2;-2
OVER 0.5 HT [1.71- 2];286881237201;2022-11-06;1.79;2;1.58
OVER 0.5 HT [1.71- 2];286937180780;2022-11-06;1.78;2;1.56
OVER 0.5 HT [1.71- 2];286974811304;2022-11-06;1.79;2;-2
OVER 0.5 HT [1.71- 2];286974850593;2022-11-06;1.78;2;1.56
OVER 0.5 HT [1.71- 2];286975215679;2022-11-06;1.71;2;1.42
OVER 0.5 HT [1.71- 2];287117597539;2022-11-08;1.8;2;-2
OVER 0.5 HT [1.71- 2];287136337315;2022-11-08;1.73;2;-2
OVER 0.5 HT [1.71- 2];287160383813;2022-11-09;1.77;2;1.54
OVER 0.5 HT [1.71- 2];287249214665;2022-11-09;1.76;2;-2
OVER 0.5 HT [1.71- 2];287329903036;2022-11-10;1.72;2;-2
OVER 0.5 HT [1.71- 2];287515474668;2022-11-12;1.71;2;1.42
OVER 0.5 HT [1.71- 2];287546967619;2022-11-12;1.74;2;1.48
OVER 0.5 HT [1.71- 2];287547559467;2022-11-12;1.74;2;1.48
OVER 0.5 HT [1.71- 2];287555477137;2022-11-12;1.81;2;1.62
OVER 0.5 HT [1.71- 2];287556106540;2022-11-12;1.81;2;1.62
OVER 0.5 HT [1.71- 2];287559174546;2022-11-12;1.72;2;-2
OVER 0.5 HT [1.71- 2];287589918538;2022-11-12;1.72;2;1.44
OVER 0.5 HT [1.71- 2];287603964693;2022-11-12;1.72;2;1.44
OVER 0.5 HT [1.71- 2];287619992262;2022-11-13;1.78;2;-2
OVER 0.5 HT [1.71- 2];287673057904;2022-11-13;1.8;2;1.6
OVER 0.5 HT [1.71- 2];287687271779;2022-11-13;1.83;2;-2
OVER 0.5 HT [1.71- 2];287688045206;2022-11-13;1.72;2;1.44
OVER 0.5 HT [1.71- 2];287734801141;2022-11-13;1.73;2;1.46
OVER 0.5 HT [1.71- 2];287788018871;2022-11-14;1.71;2;1.42
OVER 0.5 HT [1.71- 2];291104840929;2022-12-26;1.73;2;-2
OVER 0.5 HT [1.71- 2];291107356384;2022-12-26;1.78;2;-2
OVER 0.5 HT [1.71- 2];291373567134;2022-12-29;1.78;2;1.56
OVER 0.5 HT [1.71- 2];291373567402;2022-12-29;1.71;2;-2
OVER 0.5 HT [1.71- 2];291457990775;2022-12-30;1.71;2;-2
OVER 0.5 HT [1.71- 2];291611164374;2023-01-01;1.83;2;1.66
OVER 0.5 HT [1.71- 2];291832782946;2023-01-04;1.76;2;1.52
OVER 0.5 HT [1.71- 2];291920987183;2023-01-05;1.71;2;1.42
OVER 0.5 HT [1.71- 2];292123062491;2023-01-07;1.8;2;1.6
OVER 0.5 HT [1.71- 2];292260692141;2023-01-08;1.72;2;-2
OVER 0.5 HT [1.71- 2];292280870632;2023-01-08;1.73;2;1.46
OVER 0.5 HT [1.71- 2];292691855528;2023-01-13;1.71;2;1.42
OVER 0.5 HT [1.71- 2];292765031516;2023-01-14;1.75;2;1.5
OVER 0.5 HT [1.71- 2];292810475465;2023-01-14;1.78;2;-2
OVER 0.5 HT [1.71- 2];292912521088;2023-01-15;1.72;2;1.44
OVER 0.5 HT [1.71- 2];292926059182;2023-01-15;1.74;2;1.48
OVER 0.5 HT [1.71- 2];292985264670;2023-01-15;1.72;2;-2
OVER 0.5 HT [1.71- 2];293044560410;2023-01-16;1.74;2;-2
OVER 0.5 HT [1.71- 2];293225611942;2023-01-18;1.77;2;1.54
OVER 0.5 HT [1.71- 2];293231200729;2023-01-18;1.71;2;1.42
OVER 0.5 HT [1.71- 2];293508350222;2023-01-21;1.81;2;1.62
OVER 0.5 HT [1.71- 2];293524486510;2023-01-21;1.78;2;1.56
OVER 0.5 HT [1.71- 2];293529555267;2023-01-21;1.79;2;1.58
OVER 0.5 HT [1.71- 2];293530518960;2023-01-21;1.83;2;1.66
OVER 0.5 HT [1.71- 2];293530754744;2023-01-21;1.73;2;1.46
OVER 0.5 HT [1.71- 2];293531041859;2023-01-21;1.73;2;1.46
OVER 0.5 HT [1.71- 2];293670421899;2023-01-22;1.73;2;1.46
OVER 0.5 HT [1.71- 2];293674299147;2023-01-22;1.72;2;1.44
OVER 0.5 HT [1.71- 2];293677038571;2023-01-22;1.81;2;1.62
OVER 0.5 HT [1.71- 2];293762355963;2023-01-23;1.75;2;-2
OVER 0.5 HT [1.71- 2];293773835867;2023-01-23;1.73;2;-2
OVER 0.5 HT [1.71- 2];293963406807;2023-01-25;1.71;2;1.42
OVER 0.5 HT [1.71- 2];294063682848;2023-01-27;1.81;2;-2
OVER 0.5 HT [1.71- 2];294136200568;2023-01-27;1.74;2;1.48
OVER 0.5 HT [1.71- 2];294219779291;2023-01-28;1.71;2;1.42
OVER 0.5 HT [1.71- 2];294232250129;2023-01-28;1.7;2;1.4
OVER 0.5 HT [1.71- 2];294256732250;2023-01-28;1.78;2;1.56
OVER 0.5 HT [1.71- 2];294265161208;2023-01-28;1.72;2;1.44
OVER 0.5 HT [1.71- 2];294272044029;2023-01-28;1.72;2;1.44
OVER 0.5 HT [1.71- 2];294272047569;2023-01-28;1.74;2;1.48
OVER 0.5 HT [1.71- 2];294326936801;2023-01-28;1.81;2;1.62
OVER 0.5 HT [1.71- 2];294387822209;2023-01-29;1.72;2;1.44
OVER 0.5 HT [1.71- 2];294405547027;2023-01-29;1.73;2;1.46
OVER 0.5 HT [1.71- 2];294416902376;2023-01-29;1.71;2;-2
OVER 0.5 HT [1.71- 2];294425073883;2023-01-29;1.72;2;1.44
OVER 0.5 HT [1.71- 2];294497985571;2023-01-30;1.81;2;-2
OVER 0.5 HT [1.71- 2];294768707709;2023-02-01;1.71;2;1.42
OVER 0.5 HT [1.71- 2];294976149050;2023-02-03;1.74;2;-2
OVER 0.5 HT [1.71- 2];294992155973;2023-02-03;1.72;2;1.44
OVER 0.5 HT [1.71- 2];295081307407;2023-02-04;1.78;2;1.56
OVER 0.5 HT [1.71- 2];295082224727;2023-02-04;1.74;2;1.48
OVER 0.5 HT [1.71- 2];295089615123;2023-02-04;1.78;2;-2
OVER 0.5 HT [1.71- 2];295090925579;2023-02-04;1.75;2;1.5
OVER 0.5 HT [1.71- 2];295092031733;2023-02-04;1.73;2;-2
OVER 0.5 HT [1.71- 2];295093656710;2023-02-04;1.73;2;1.46
OVER 0.5 HT [1.71- 2];295141915485;2023-02-04;1.85;2;-2
OVER 0.5 HT [1.71- 2];295143338509;2023-02-04;1.74;2;1.48
OVER 0.5 HT [1.71- 2];295221310271;2023-02-05;1.75;2;1.5
OVER 0.5 HT [1.71- 2];295261117350;2023-02-05;1.72;2;1.44
OVER 0.5 HT [1.71- 2];295298676425;2023-02-05;1.72;2;1.44
OVER 0.5 HT [1.71- 2];295359702855;2023-02-06;1.76;2;1.52
OVER 0.5 HT [1.71- 2];295371091897;2023-02-06;1.75;2;1.5
OVER 0.5 HT [1.71- 2];295660493415;2023-02-09;1.75;2;-2
OVER 0.5 HT [1.71- 2];295739791037;2023-02-10;1.7;2;1.4
OVER 0.5 HT [1.71- 2];295838509780;2023-02-11;1.72;2;1.44
OVER 0.5 HT [1.71- 2];295907935112;2023-02-11;1.83;2;1.66
OVER 0.5 HT [1.71- 2];295908540146;2023-02-11;1.74;2;1.48
OVER 0.5 HT [1.71- 2];295930213181;2023-02-11;1.72;2;1.44
OVER 0.5 HT [1.71- 2];295955390399;2023-02-11;1.74;2;-2
OVER 0.5 HT [1.71- 2];295964348429;2023-02-12;1.78;2;1.56
OVER 0.5 HT [1.71- 2];296038339486;2023-02-12;1.72;2;1.44
OVER 0.5 HT [1.71- 2];296060730753;2023-02-12;1.73;2;-2
OVER 0.5 HT [1.71- 2];296065666448;2023-02-12;1.73;2;1.46
OVER 0.5 HT [1.71- 2];296104753934;2023-02-13;1.79;2;1.58
OVER 0.5 HT [1.71- 2];296255840939;2023-02-14;1.7;2;1.4
OVER 0.5 HT [1.71- 2];296255841340;2023-02-14;1.71;2;1.42
OVER 0.5 HT [1.71- 2];296282377361;2023-02-15;1.7;2;-2
OVER 0.5 HT [1.71- 2];296382917733;2023-02-16;1.8;2;1.6
OVER 0.5 HT [1.71- 2];296477621771;2023-02-16;1.82;2;-2
OVER 0.5 HT [1.71- 2];296483148266;2023-02-17;1.74;2;1.48
OVER 0.5 HT [1.71- 2];296583021344;2023-02-17;1.7;2;-2
OVER 0.5 HT [1.71- 2];296704054561;2023-02-18;1.75;2;1.5
OVER 0.5 HT [1.71- 2];296711685575;2023-02-18;1.77;2;-2
OVER 0.5 HT [1.71- 2];296711992725;2023-02-18;1.82;2;-2
OVER 0.5 HT [1.71- 2];296712505202;2023-02-18;1.82;2;-2
OVER 0.5 HT [1.71- 2];296712509062;2023-02-18;1.79;2;1.58
OVER 0.5 HT [1.71- 2];296900988753;2023-02-19;1.74;2;-2
OVER 0.5 HT [1.71- 2];296917578131;2023-02-19;1.73;2;1.46
OVER 0.5 HT [1.71- 2];297012190615;2023-02-20;1.81;2;1.62
